EH1020,Unnamed: 0,Love's Pure Light (Silent Night)­SATB,25,25.1,3.25,40%,1.95,48.75
,,EH1020,,,,,,
WJMS1226,A­K7­5,Begin Again,20.0,20.0,3.4,50%,1.7,34.0
,,WJMS1226,,,,,,
SBMP331,B­H4­6/E4­8,It Takes a Village­SATB,25.0,25.0,2.6,50%,1.3,32.5
,,SBMP331,,,,,,
40/1073H,E­LA5­3,Piano Discoveries Theory Bk 1B­Level 1B,1.0,1.0,14.95,50%,7.48,7.48
,,40/1073H,,,,,,
PP335,E­LE3­6,Logical Approach to Rhythmic Notation V1,5.0,5.0,22.95,50%,11.48,57.4
,,PP335,,,,,,
10/5897L,F­M1F23­4,"Lead Me, Savior ­ SATB",4.0,4.0,2.75,50%,1.38,5.52
,,10/5897L,,,,,,
10/5926L,F­M1F28­6,Give Thanks ­ SATB,4.0,4.0,2.95,50%,1.48,5.92
,,10/5926L,,,,,,
15/3774H,F­M1J20­4,We Three (Swingin') Kings­TTB,8.0,8.0,3.2,50%,1.6,12.8
,,15/3774H,,,,,,
30/2263L,F­M1J25­3,Praise...With Stringed Instruments­VLN s,5.0,5.0,32.95,50%,16.48,82.4
